Laptop Name,Current Price,MRP Price,Rating,Dedicated Graphic Memory Type,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Processor Generation,Processor Variant,Clock Speed,Cache,Number of Cores,Expandable Memory,RAM Frequency,Expandable SSD Capacity,Chipset,Memory Slots,RPM,Dedicated Graphic Memory Capacity,HDD Capacity,EMMC Storage Capacity,Cloud Storage
"ASUS Vivobook 15X (2023) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ322WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.60 Kg, With MS Office)","39,980","58,990",4.1,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,13th Gen,1315U,Max Turbo Frequency up to 4.5 GHz,,,,,,,,,,,,
"ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz/70 TGP) FX506HF-HN075W Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 kg)","48,990","75,990",4.3,GDDR6,Intel,Core i5,Yes,512 GB,8 GB,DDR4,NVIDIA GeForce RTX 2050,11th Gen,11260H,"Base Frequency 2.9 GHz, Max Turbo Boost at 4.4 GHz",12 MB,6,32,,2 TB,Mobile Intel HM570 Express,4,3200,4 GB,,,
"Acer Aspire 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) A315-59-329J Thin and Light Laptop  (15.6 inch, Pure Silver, 1.7 Kg, With MS Office)","33,999","48,999",4.2,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD Graphics,12th Gen,,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",,6,32,,,,2,,,,,
"Lenovo AMD Ryzen 7 Octa Core 7730U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light Laptop  (15.6 Inch, Mineral Grey, 1.70 Kg)","42,990","76,990",4.2,,AMD,Ryzen 7 Octa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,7730U,2.0 GHz with Turbo Boost Upto 4.5 GHz,,,,,,,,,,,,
"HP 250 G9 Intel Core i3 12th Gen Intel Core i3 1215U - (8 GB/512 GB SSD/Windows 11 Home) 250 G9 Business Laptop  (15.6 inch, Silver, 1.47 kg)","33,490","47,554",4.2,DDR4,Intel,Core i3,Yes,512 GB,8 GB,DDR4,NA,12th Gen,Intel Core i3 1215U,2.6 GHz,10 MB L3 cache,,,,NA,,,3200,,,,
"ASUS Vivobook Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ325WS Thin and Light Laptop  (15.6 Inch, Quiet Blue, 1.70 kg, With MS Office)","35,990","54,990",4.3,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,1215U,"Base Frequency 1.2 GHz, Max Turbo Boost at 4.4 GHz",10 MB,6,Upto 24 GB,3200 MHz,,,2,,,,,
"DELL Dell Inspiron 3520 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Laptop Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.65 Kg, With MS Office)","36,290","51,575",4.3,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,11th Gen,1115G4,0.9 GHz upto max turbo frequency at 4.4 Ghz,,,,3200 MHz,,,,,,,,
"MSI GF63 Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) GF63 Thin 11SC-1494IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)","41,990","67,990",4.2,GDDR6,Intel,Core i5,Yes,512 GB,8 GB,DDR4,NVIDIA GeForce GTX 1650,11th Gen,11260H,Max Turbo Frequency up to 4.4GHz,,,64 GB,,4 TB,,,,4 GB,,,
"HP 2023 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","31,990","39,995",4.2,,AMD,Ryzen 3 Dual Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,3250U,2.60 GHz up to 3.50 GHz,,,,,,,,,,,,
"DELL Inspiron 15 3520 Intel Core i5 12th Gen Core i5 - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Laptop  (15.6 inch, Platinum Silver, 1.65 kg, With MS Office)","52,490","78,900",4,,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated Intel UHD Graphics,12th Gen,Core i5,Up to 4.40 GHz Turbo,12 MB,10,,3200 MHz,,1235U,,,,,,
"HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 6500M) 15-fb0108AX Gaming Laptop  (15.6 Inch, Mica Silver, 2.37 Kg, With MS Office)","50,999","77,354",4.2,GDDR6,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon RX 6500M,,5600H,3.3GHz Upto max turbo frequency at 4.2 GHz,,,,,,,,,4 GB,,,
"Acer Aspire Lite AMD Ryzen 5 Hexa Core 5500U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.59 Kg)","40,999","64,999",3.7,,AMD,Ryzen 5 Hexa Core,Yes,1 TB,16 GB,DDR4,AMD Radeon AMD,,5500U,up to 4.00 GHz,,,,,,,,,,,,
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ342WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg, With MS Office)","35,990","49,990",4.3,,Intel,Core i3,Yes,512 GB,16 GB,DDR4,Intel Integrated UHD,11th Gen,1115G4,1.70 GHz up to 4.10 GHz,,,16,,2 TB,,,,,,,
"Lenovo V15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) V15 G3 IAP Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)","32,990","59,000",4.2,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,1215U,0.9 GHz upto max turbo frequency at 4.40 Ghz,,,,,,,,,,,,
"walker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Thin and Light Laptop  (14.1 inch, Cloud Silver, 1.3 Kg)","12,990","30,000",3.8,,Intel,Celeron Dual Core,Yes,128 GB,4 GB,LPDDR4,Intel Integrated UHD 600,,N4020,Max Frequency Up to 2.8 GHz,,,,,,,,,,,,
"HP Laptop Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5329TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","47,990","62,963",NA,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated Iris Xe,12th Gen,1235U,Upto 4.4 GHz,12 MB,10,16 GB,,,,2,,,,,
"HP 360 Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromebook  (14 Inch, Forest Teal, 1.49 Kg)","21,990","31,156",4,,Intel,Celeron Quad Core,No,,4 GB,LPDDR4,Intel Integrated UHD Graphics,,N4120,2.8,4,2,,2400 MHz,,,,,,,64 GB,
"Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-36HE Thin and Light Laptop  (15.6 inch, Pure Silver, 1.7 Kg)","30,990","44,100",4.5,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,1215U,"3.3 GHz, Up to Max Turbo Frequency at 4.4 GHz",,,,,,,,,,,,
"MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)","34,990","61,990",4.3,,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,7530U,2.0 GHz upto max turbo frequency at 4.5 Ghz,,,,,,,,,,,,
"HP 255 G9 AMD Athlon Dual Core AMD Athlon Silver-3050U - (4 GB/256 GB SSD/DOS) 255 G9 Thin and Light Laptop  (15.6 inch, Black, 1.47 kg)","19,999","27,063",3.9,DDR4,AMD,Athlon Dual Core,Yes,256 GB,4 GB,DDR4,NA,,AMD Athlon Silver-3050U,2.1 GHz base clock,4 MB L3 cache 2 Cores,2,,2400 MHz,,,,2400,,,,
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS | X1500EA-EJ3379WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)","31,990","49,990",4.3,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,11th Gen,1115G4,3.0 GHz up to max turbo frequency at 4.1 GHz,6,2,16,,2 TB,,,,,,,
"HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/50 TGP) 15-fa1132TX Gaming Laptop  (15.6 inch, Performance Blue, 2.37 Kg, With MS Office)","59,990","77,566",4.4,GDDR6,Intel,Core i5,Yes,512 GB,8 GB,DDR4,NVIDIA GeForce RTX 2050,12th Gen,12450H,Max turbo frequency at 4.4 Ghz,,,,,,,,,4 GB,,,
"Acer Aspire 3 AMD Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A315-24P-R7HM Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.78 Kg)","32,990","42,999",4.2,,AMD,Ryzen 3 Quad Core,Yes,256 GB,8 GB,LPDDR5,AMD Radeon AMD,,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,,,,,,,,,,,,
"ASUS Vivobook 15 Intel Core i3 12th Gen i3-1220P - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ385WS Thin and Light Laptop  (15.6 inch, Quiet Blue, 1.7 kg, With MS Office)","40,790","54,990",4.3,,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,i3-1220P,1.5 Ghz. Turbo Upto 4.4 Ghz.,12 MB,10,24 GB,3200 MHz,2 TB,,SO-DIMM x 1 slot,,,,,
"DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.65 Kg, With MS Office)","45,999","68,790",4.3,,Intel,Core i5,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,12th Gen,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",,10,,,,,,,,,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15ACH6 Gaming Laptop  (39.62 cm, Shadow Black, 2.25 Kg)","46,490","75,290",4.2,GDDR6,AMD,Ryzen 5 Quad Core,Yes,512 GB,8 GB,DDR4,NVIDIA GeForce RTX 2050,,5500H,Max Turbo Frequency upto 4.2 GHz,,,,,,,,,4 GB,,,
